[error] [2026-03-05 15:38:14]  : Error ProcesoRolActivo sendResponseProcesos is not defined
[error] [2026-03-05 15:49:57]  : Error ProcesoListadoCarrerasDadoFacultad ListadoDocumentos is not defined
[error] [2026-03-05 15:52:21]  : Error ListadoCarrerasDadoFacultad informacion is not defined
[error] [2026-03-05 16:01:23]  : Error ProcesoVerificarRutasMatriculasAlmacenamiento procesomodelomovilidad is not defined
[error] [2026-03-20 16:40:57]  : Error ProcesoListadoRecordEstadoPeriodo Informacion.datos is not iterable
[error] [2026-03-20 16:41:23]  : Error ProcesoListadoRecordEstadoPeriodo Informacion.datos is not iterable
[error] [2026-03-23 09:37:32]  : Error EliminarSolicitudRecord strperiodo is not defined
[error] [2026-04-22 08:40:01]  : Error ProcesoTotalDefinitivaCarrera Cannot read properties of undefined (reading 'datos')
[error] [2026-06-05 15:26:55]  : Error ProcesoListadoCarrerasHomologacionesPeriodo listado is not iterable
[error] [2026-06-05 15:27:40]  : Error ProcesoIngresoCarrerasMovilidad listado is not iterable
[error] [2026-06-22 16:03:26]  : Error ProcesoListadoCarrerasMovilidadesPeriodo sqlmodelogenerales.ObtenerMejorEstudianteDosCalificacionesAsignaturaCarrera is not a function
[error] [2026-06-22 16:03:48]  : Error ProcesoListadoCarrerasMovilidadesPeriodo Cannot read properties of undefined (reading 'strNombres')
[error] [2026-06-22 16:03:55]  : Error ProcesoListadoCarrerasMovilidadesPeriodo Cannot read properties of undefined (reading 'strNombres')
[error] [2026-06-22 16:04:14]  : Error ProcesoListadoCarrerasMovilidadesPeriodo Cannot read properties of undefined (reading 'strNombres')
[error] [2026-06-22 16:04:23]  : Error ProcesoListadoCarrerasMovilidadesPeriodo Cannot read properties of undefined (reading 'strNombres')
[error] [2026-06-22 16:04:41]  : Error ProcesoListadoCarrerasMovilidadesPeriodo Cannot read properties of undefined (reading 'strNombres')
[error] [2026-06-22 16:04:43]  : Error ProcesoListadoCarrerasMovilidadesPeriodo Cannot read properties of undefined (reading 'strNombres')
[error] [2026-06-22 16:12:49]  : Error ProcesoListadoCarrerasMovilidadesPeriodo Cannot read properties of undefined (reading 'strNombres')
[error] [2026-06-22 16:13:39]  : Error ProcesoCertificadoMejorEstudianteAsignatura Cannot read properties of undefined (reading 'strNombres')
[error] [2026-06-22 16:14:24]  : Error ProcesoCertificadoMejorEstudianteAsignatura Cannot read properties of undefined (reading 'strNombres')
[error] [2026-06-22 16:15:00]  : Error ProcesoCertificadoMejorEstudianteAsignatura Cannot read properties of undefined (reading 'strNombres')
[error] [2026-06-22 17:00:50]  : Error ProcesoCertificadoMejorEstudianteAsignatura asignatura is not defined
[error] [2026-06-22 17:01:46]  : Error ProcesoCertificadoMejorEstudianteAsignatura asignatura is not defined
[error] [2026-06-22 17:07:16]  : Error ProcesoCertificadoMejorEstudianteAsignatura datosAsignatura is not defined
[error] [2026-06-23 08:31:38]  : Error ProcesoReporteMallaAcademicaCarrera base64 is not defined
[error] [2026-06-23 08:32:03]  : Error ProcesoReporteMallaAcademicaCarrera base64 is not defined
[error] [2026-06-24 09:21:12]  : Error ProcesoEncontrarSolicitudesMovilidadesTodas dbcarrera is not defined
[error] [2026-06-24 09:21:41]  : Error ProcesoEncontrarSolicitudesMovilidadesTodas dbcarrera is not defined
[error] [2026-06-24 09:22:25]  : Error ProcesoEncontrarSolicitudesMovilidadesTodas dbcarrera is not defined
[error] [2026-06-24 09:22:25]  : Error LisatdoDictadoAsignaturaCarrera sendResponseProcesos is not defined
[error] [2026-06-24 09:23:11]  : Error ProcesoModleMigracionDatosDictadoCarrera sendResponseProcesos is not defined
[error] [2026-06-24 09:23:11]  : Error LisatdoDictadoAsignaturaCarrera sendResponseProcesos is not defined
[error] [2026-06-24 09:23:49]  : Error ProcesoModleMigracionDatosDictadoCarrera sendResponseProcesos is not defined
[error] [2026-06-24 09:23:49]  : Error LisatdoDictadoAsignaturaCarrera sendResponseProcesos is not defined
[error] [2026-06-24 09:24:08]  : Error ProcesoModleMigracionDatosDictadoCarrera sendResponseProcesos is not defined
[error] [2026-06-24 09:24:08]  : Error LisatdoDictadoAsignaturaCarrera sendResponseProcesos is not defined
[error] [2026-06-24 09:25:23]  : Error ProcesoModleMigracionDatosDictadoCarrera sendResponseProcesos is not defined
[error] [2026-06-24 09:25:23]  : Error LisatdoDictadoAsignaturaCarrera sendResponseProcesos is not defined
[error] [2026-06-30 16:27:23]  : Error EnvioCorreoSolicitudRecord Cannot read properties of undefined (reading 'proceso')
[error] [2026-06-30 16:28:12]  : Error EnvioCorreoSolicitudRecord Cannot read properties of undefined (reading 'proceso')
[error] [2026-07-01 17:33:54]  : Error ProcesoCertificadoMejorEstudianteAsignatura Cannot read properties of undefined (reading '0')
[error] [2026-07-01 17:34:57]  : Error ProcesoCertificadoEstudianteRegularCarrera Cannot read properties of undefined (reading '0')
[error] [2026-07-01 17:35:24]  : Error ProcesoCertificadoEstudianteRegularCarrera Cannot read properties of undefined (reading '0')
[error] [2026-07-01 17:35:43]  : Error ProcesoCertificadoEstudianteRegularCarrera Cannot read properties of undefined (reading '0')
[error] [2026-07-01 17:36:58]  : Error ProcesoCertificadoEstudianteRegularCarrera Cannot read properties of undefined (reading '0')
[error] [2026-07-02 16:54:45]  : Error ProcesoCertificadoEstudianteRegularCarrera listado is not defined
